ctmString,ctm,open,high,low,close,vol
"May 4, 2023, 8:15:00 PM",1683224100000,125786.0,30.0,-28.0,-27.0,7769.0
"May 4, 2023, 8:30:00 PM",1683225000000,125759.0,37.0,-32.0,19.0,7577.0
"May 4, 2023, 8:45:00 PM",1683225900000,125777.0,22.0,-11.0,4.0,7530.0
"May 4, 2023, 9:00:00 PM",1683226800000,125780.0,37.0,-4.0,1.0,6129.0
"May 4, 2023, 9:15:00 PM",1683227700000,125781.0,0.0,-33.0,-23.0,7042.0
"May 4, 2023, 9:30:00 PM",1683228600000,125757.0,13.0,-9.0,-1.0,5903.0
"May 4, 2023, 9:45:00 PM",1683229500000,125756.0,4.0,-32.0,-26.0,6593.0
"May 4, 2023, 10:00:00 PM",1683230400000,125730.0,6.0,-27.0,-21.0,3898.0
"May 4, 2023, 10:15:00 PM",1683231300000,125708.0,3.0,-16.0,-1.0,3530.0
"May 4, 2023, 10:30:00 PM",1683232200000,125710.0,26.0,0.0,17.0,3191.0
"May 4, 2023, 10:45:00 PM",1683233100000,125728.0,10.0,-16.0,-6.0,2774.0
"May 4, 2023, 11:00:00 PM",1683234000000,125718.0,32.0,-124.0,-73.0,224.0
"May 4, 2023, 11:15:00 PM",1683234900000,125645.0,90.0,0.0,90.0,64.0
"May 4, 2023, 11:30:00 PM",1683235800000,125738.0,11.0,-1.0,-1.0,104.0
"May 4, 2023, 11:45:00 PM",1683236700000,125737.0,2.0,-14.0,-5.0,124.0
"May 5, 2023, 12:00:00 AM",1683237600000,125729.0,0.0,-33.0,-4.0,984.0
"May 5, 2023, 12:15:00 AM",1683238500000,125725.0,18.0,-11.0,13.0,2104.0
"May 5, 2023, 12:30:00 AM",1683239400000,125738.0,24.0,-20.0,23.0,2272.0
"May 5, 2023, 12:45:00 AM",1683240300000,125757.0,56.0,-1.0,53.0,4020.0
"May 5, 2023, 1:00:00 AM",1683241200000,125812.0,4.0,-50.0,-24.0,2700.0
