ctmString,ctm,open,high,low,close,vol
"May 11, 2023, 2:30:00 PM",1683808200000,168994.0,0.0,-426.0,-269.0,5189.0
"May 11, 2023, 2:45:00 PM",1683809100000,168723.0,4.0,-323.0,-288.0,4368.0
"May 11, 2023, 3:00:00 PM",1683810000000,168434.0,0.0,-374.0,-294.0,4574.0
"May 11, 2023, 3:15:00 PM",1683810900000,168126.0,84.0,-37.0,23.0,4370.0
"May 11, 2023, 3:30:00 PM",1683811800000,168149.0,59.0,-317.0,41.0,4700.0
"May 11, 2023, 3:45:00 PM",1683812700000,168189.0,37.0,-240.0,-227.0,4494.0
"May 11, 2023, 4:00:00 PM",1683813600000,167974.0,242.0,-93.0,235.0,4291.0
"May 11, 2023, 4:15:00 PM",1683814500000,168209.0,57.0,-238.0,34.0,3707.0
"May 11, 2023, 4:30:00 PM",1683815400000,168236.0,125.0,-54.0,83.0,3674.0
"May 11, 2023, 4:45:00 PM",1683816300000,168315.0,143.0,-40.0,18.0,3893.0
"May 11, 2023, 5:00:00 PM",1683817200000,168333.0,68.0,-96.0,-69.0,3690.0
"May 11, 2023, 5:15:00 PM",1683818100000,168265.0,26.0,-166.0,-114.0,3700.0
"May 11, 2023, 5:30:00 PM",1683819000000,168153.0,1.0,-165.0,-78.0,3554.0
"May 11, 2023, 5:45:00 PM",1683819900000,168076.0,67.0,-65.0,-7.0,3790.0
"May 11, 2023, 6:00:00 PM",1683820800000,168068.0,79.0,-72.0,76.0,3683.0
"May 11, 2023, 6:15:00 PM",1683821700000,168141.0,69.0,-31.0,36.0,3200.0
"May 11, 2023, 6:30:00 PM",1683822600000,168178.0,72.0,-15.0,55.0,2922.0
"May 11, 2023, 6:45:00 PM",1683823500000,168234.0,14.0,-57.0,-49.0,3190.0
"May 11, 2023, 7:00:00 PM",1683824400000,168184.0,18.0,-93.0,-20.0,3611.0
"May 11, 2023, 7:15:00 PM",1683825300000,168163.0,65.0,-62.0,-20.0,2929.0
"May 11, 2023, 7:30:00 PM",1683826200000,168141.0,65.0,-43.0,-2.0,2763.0
"May 11, 2023, 7:45:00 PM",1683827100000,168138.0,19.0,-128.0,15.0,2917.0
"May 11, 2023, 8:00:00 PM",1683828000000,168153.0,49.0,-47.0,20.0,2930.0
"May 11, 2023, 8:15:00 PM",1683828900000,168173.0,67.0,-38.0,53.0,2768.0
"May 11, 2023, 8:30:00 PM",1683829800000,168225.0,129.0,-25.0,107.0,2994.0
"May 11, 2023, 8:45:00 PM",1683830700000,168332.0,0.0,-84.0,-32.0,3295.0
"May 11, 2023, 9:00:00 PM",1683831600000,168302.0,56.0,-23.0,56.0,3176.0
"May 11, 2023, 9:15:00 PM",1683832500000,168357.0,48.0,-32.0,19.0,2786.0
"May 11, 2023, 9:30:00 PM",1683833400000,168376.0,2.0,-68.0,-50.0,2930.0
"May 11, 2023, 9:45:00 PM",1683834300000,168325.0,65.0,-13.0,27.0,3139.0
"May 11, 2023, 10:00:00 PM",1683835200000,168355.0,24.0,-37.0,24.0,6468.0
"May 11, 2023, 10:15:00 PM",1683836100000,168379.0,8.0,-39.0,-17.0,6467.0
"May 11, 2023, 10:30:00 PM",1683837000000,168358.0,21.0,-27.0,19.0,3118.0
"May 11, 2023, 10:45:00 PM",1683837900000,168378.0,13.0,-73.0,-73.0,3642.0
"May 11, 2023, 11:00:00 PM",1683838800000,168236.0,46.0,-7.0,19.0,195.0
"May 11, 2023, 11:15:00 PM",1683839700000,168262.0,49.0,-48.0,-48.0,269.0
"May 11, 2023, 11:30:00 PM",1683840600000,168228.0,70.0,-7.0,68.0,334.0
"May 11, 2023, 11:45:00 PM",1683841500000,168296.0,22.0,-78.0,-67.0,294.0
"May 12, 2023, 12:00:00 AM",1683842400000,168224.0,136.0,0.0,124.0,4143.0
"May 12, 2023, 12:15:00 AM",1683843300000,168347.0,26.0,-25.0,-3.0,2948.0
"May 12, 2023, 12:30:00 AM",1683844200000,168346.0,36.0,-12.0,13.0,3998.0
"May 12, 2023, 12:45:00 AM",1683845100000,168358.0,20.0,-80.0,-54.0,5323.0
"May 12, 2023, 1:00:00 AM",1683846000000,168306.0,10.0,-110.0,-87.0,3107.0
"May 12, 2023, 1:15:00 AM",1683846900000,168219.0,54.0,0.0,39.0,2355.0
"May 12, 2023, 1:30:00 AM",1683847800000,168257.0,23.0,-31.0,-29.0,2119.0
"May 12, 2023, 1:45:00 AM",1683848700000,168229.0,22.0,-31.0,-20.0,2481.0
"May 12, 2023, 2:00:00 AM",1683849600000,168208.0,122.0,-26.0,113.0,6177.0
"May 12, 2023, 2:15:00 AM",1683850500000,168323.0,35.0,-108.0,-90.0,6665.0
"May 12, 2023, 2:30:00 AM",1683851400000,168234.0,48.0,-8.0,28.0,6613.0
"May 12, 2023, 2:45:00 AM",1683852300000,168261.0,142.0,-4.0,126.0,8634.0
"May 12, 2023, 3:00:00 AM",1683853200000,168387.0,78.0,-29.0,32.0,8621.0
"May 12, 2023, 3:15:00 AM",1683854100000,168422.0,13.0,-134.0,-102.0,10017.0
"May 12, 2023, 3:30:00 AM",1683855000000,168320.0,51.0,-29.0,20.0,9646.0
"May 12, 2023, 3:45:00 AM",1683855900000,168339.0,39.0,-18.0,4.0,7749.0
"May 12, 2023, 4:00:00 AM",1683856800000,168343.0,49.0,-22.0,41.0,8140.0
"May 12, 2023, 4:15:00 AM",1683857700000,168386.0,122.0,0.0,45.0,7368.0
"May 12, 2023, 4:30:00 AM",1683858600000,168430.0,40.0,-38.0,37.0,7356.0
"May 12, 2023, 4:45:00 AM",1683859500000,168468.0,40.0,-27.0,-19.0,6881.0
"May 12, 2023, 5:00:00 AM",1683860400000,168447.0,62.0,0.0,36.0,5623.0
"May 12, 2023, 5:15:00 AM",1683861300000,168481.0,30.0,-32.0,-14.0,4212.0
"May 12, 2023, 5:30:00 AM",1683862200000,168466.0,37.0,-27.0,3.0,5283.0
"May 12, 2023, 5:45:00 AM",1683863100000,168470.0,30.0,-39.0,-3.0,4458.0
"May 12, 2023, 6:00:00 AM",1683864000000,168467.0,33.0,-35.0,18.0,7334.0
"May 12, 2023, 6:15:00 AM",1683864900000,168488.0,7.0,-31.0,-20.0,6789.0
"May 12, 2023, 6:30:00 AM",1683865800000,168469.0,39.0,-11.0,14.0,5773.0
"May 12, 2023, 6:45:00 AM",1683866700000,168483.0,83.0,-4.0,55.0,3255.0
"May 12, 2023, 7:00:00 AM",1683867600000,168539.0,46.0,-43.0,15.0,6093.0
"May 12, 2023, 7:15:00 AM",1683868500000,168554.0,32.0,-9.0,13.0,5463.0
"May 12, 2023, 7:30:00 AM",1683869400000,168568.0,82.0,-4.0,60.0,7693.0
"May 12, 2023, 7:45:00 AM",1683870300000,168629.0,25.0,-50.0,-42.0,6946.0
"May 12, 2023, 8:00:00 AM",1683871200000,168581.0,56.0,-122.0,24.0,3604.0
"May 12, 2023, 8:15:00 AM",1683872100000,168604.0,112.0,0.0,72.0,4484.0
"May 12, 2023, 8:30:00 AM",1683873000000,168673.0,90.0,-54.0,73.0,4248.0
"May 12, 2023, 8:45:00 AM",1683873900000,168745.0,175.0,-6.0,113.0,4992.0
"May 12, 2023, 9:00:00 AM",1683874800000,168843.0,172.0,-18.0,104.0,3908.0
"May 12, 2023, 9:15:00 AM",1683875700000,168949.0,106.0,0.0,21.0,4119.0
"May 12, 2023, 9:30:00 AM",1683876600000,168971.0,150.0,0.0,99.0,4180.0
"May 12, 2023, 9:45:00 AM",1683877500000,169071.0,4.0,-296.0,-262.0,4122.0
"May 12, 2023, 10:00:00 AM",1683878400000,168809.0,0.0,-197.0,-169.0,4060.0
"May 12, 2023, 10:15:00 AM",1683879300000,168641.0,265.0,-3.0,192.0,3985.0
"May 12, 2023, 10:30:00 AM",1683880200000,168833.0,75.0,-26.0,-2.0,3759.0
"May 12, 2023, 10:45:00 AM",1683881100000,168822.0,72.0,-50.0,65.0,3680.0
"May 12, 2023, 11:00:00 AM",1683882000000,168888.0,9.0,-122.0,-119.0,3351.0
"May 12, 2023, 11:15:00 AM",1683882900000,168769.0,76.0,-76.0,65.0,3551.0
"May 12, 2023, 11:30:00 AM",1683883800000,168834.0,62.0,-160.0,-135.0,3644.0
"May 12, 2023, 11:45:00 AM",1683884700000,168697.0,52.0,-43.0,49.0,3530.0
"May 12, 2023, 12:00:00 PM",1683885600000,168747.0,81.0,-45.0,17.0,3613.0
"May 12, 2023, 12:15:00 PM",1683886500000,168766.0,144.0,-8.0,128.0,3535.0
"May 12, 2023, 12:30:00 PM",1683887400000,168895.0,24.0,-158.0,-129.0,3355.0
"May 12, 2023, 12:45:00 PM",1683888300000,168769.0,108.0,0.0,30.0,2834.0
"May 12, 2023, 1:00:00 PM",1683889200000,168786.0,168.0,-10.0,135.0,3247.0
"May 12, 2023, 1:15:00 PM",1683890100000,168922.0,15.0,-74.0,-32.0,3950.0
"May 12, 2023, 1:30:00 PM",1683891000000,168887.0,77.0,-36.0,-32.0,3610.0
"May 12, 2023, 1:45:00 PM",1683891900000,168856.0,103.0,-20.0,61.0,3013.0
"May 12, 2023, 2:00:00 PM",1683892800000,168917.0,54.0,-73.0,-14.0,4451.0
"May 12, 2023, 2:15:00 PM",1683893700000,168904.0,66.0,-166.0,-149.0,4283.0
"May 12, 2023, 2:30:00 PM",1683894600000,168754.0,10.0,-202.0,-196.0,4510.0
"May 12, 2023, 2:45:00 PM",1683895500000,168556.0,253.0,-10.0,236.0,4827.0
"May 12, 2023, 3:00:00 PM",1683896400000,168788.0,30.0,-74.0,17.0,4151.0
"May 12, 2023, 3:15:00 PM",1683897300000,168809.0,36.0,-116.0,-79.0,3999.0
"May 12, 2023, 3:30:00 PM",1683898200000,168737.0,16.0,-291.0,-130.0,3511.0
"May 12, 2023, 3:45:00 PM",1683899100000,168606.0,24.0,-164.0,5.0,3988.0
"May 12, 2023, 4:00:00 PM",1683900000000,168718.0,67.0,-210.0,-204.0,4491.0
"May 12, 2023, 4:15:00 PM",1683900900000,168513.0,451.0,-37.0,394.0,4160.0
"May 12, 2023, 4:30:00 PM",1683901800000,168913.0,123.0,-67.0,-25.0,4187.0
"May 12, 2023, 4:45:00 PM",1683902700000,168889.0,20.0,-207.0,-156.0,3979.0
"May 12, 2023, 5:00:00 PM",1683903600000,168732.0,148.0,-59.0,67.0,3907.0
"May 12, 2023, 5:15:00 PM",1683904500000,168799.0,45.0,-104.0,-81.0,3992.0
"May 12, 2023, 5:30:00 PM",1683905400000,168718.0,117.0,-21.0,101.0,3719.0
"May 12, 2023, 5:45:00 PM",1683906300000,168819.0,239.0,-15.0,204.0,4306.0
"May 12, 2023, 6:00:00 PM",1683907200000,169024.0,11.0,-117.0,-41.0,2721.0
"May 12, 2023, 6:15:00 PM",1683908100000,168982.0,54.0,-50.0,4.0,2420.0
"May 12, 2023, 6:30:00 PM",1683909000000,168988.0,66.0,-58.0,-56.0,2130.0
"May 12, 2023, 6:45:00 PM",1683909900000,168931.0,65.0,-22.0,-19.0,2174.0
"May 12, 2023, 7:00:00 PM",1683910800000,168908.0,80.0,-36.0,56.0,2342.0
"May 12, 2023, 7:15:00 PM",1683911700000,168964.0,119.0,-29.0,109.0,2126.0
